F0,F1,F2,F3,S0,S1,S2,S3,M0,M1,M2,M3
"x: -0.03387384
y: 0.04802832
z: 0.030617561
","x: -0.052594088
y: 0.031113826
z: 0.01579648
","x: -0.066076346
y: 0.008455465
z: -0.01269569
","x: -0.08018641
y: -0.014730082
z: -0.024663722
","x: -0.01661965
y: -0.00980708
z: 0.00015156328
","x: -0.018706588
y: -0.038237892
z: -0.0064130905
","x: -0.01969329
y: -0.049108654
z: -0.027643254
","x: -0.021297826
y: -0.042001173
z: -0.063163154
","x: -0.0006835956
y: -0.0043339366
z: 0.00020258392
","x: 0.014361132
y: -0.026563162
z: -0.01692476
","x: 0.018572174
y: -0.024492823
z: -0.047268897
","x: 0.0119274445
y: -0.009264363
z: -0.07866954
"
"x: -0.033779297
y: 0.048243713
z: 0.028146757
","x: -0.0529694
y: 0.031642035
z: 0.015312221
","x: -0.06680961
y: 0.008471482
z: -0.012766927
","x: -0.08196875
y: -0.014368565
z: -0.025162494
","x: -0.016609514
y: -0.009672575
z: 7.242887e-05
","x: -0.019532008
y: -0.039070096
z: -0.006716221
","x: -0.019841284
y: -0.049457654
z: -0.026923835
","x: -0.020953327
y: -0.04395076
z: -0.062382266
","x: -0.00066614273
y: -0.0041621714
z: 0.00045359274
","x: 0.013396485
y: -0.027078263
z: -0.016645681
","x: 0.018031513
y: -0.025079865
z: -0.04406446
","x: 0.0127722025
y: -0.009438215
z: -0.07235327
"
"x: -0.032194167
y: 0.046692148
z: 0.03429961
","x: -0.051481314
y: 0.030016735
z: 0.020141589
","x: -0.06776457
y: 0.0070124194
z: -0.00879224
","x: -0.08563741
y: -0.01520312
z: -0.02181027
","x: -0.016683739
y: -0.009621719
z: -0.00029300465
","x: -0.02011236
y: -0.03864766
z: -0.008791422
","x: -0.019652667
y: -0.04798712
z: -0.030824069
","x: -0.017829916
y: -0.04262045
z: -0.06836605
","x: -0.0006769092
y: -0.0043343655
z: 1.3517662e-05
","x: 0.012048306
y: -0.025147377
z: -0.018630506
","x: 0.018020209
y: -0.024091082
z: -0.04806206
","x: 0.014404932
y: -0.010708657
z: -0.07864604
"
"x: -0.03323478
y: 0.049815353
z: 0.030510781
","x: -0.05435989
y: 0.030535396
z: 0.015967246
","x: -0.07244412
y: 0.0043559875
z: -0.00764601
","x: -0.08973859
y: -0.018565897
z: -0.014717534
","x: -0.019218285
y: -0.009902357
z: -0.0009605683
","x: -0.019621318
y: -0.035961326
z: -0.0107503915
","x: -0.019549973
y: -0.048804473
z: -0.02694256
","x: -0.016500913
y: -0.054579165
z: -0.059900302
","x: -0.00049253844
y: -0.004880873
z: 0.00046092586
","x: 0.0105978735
y: -0.024193
z: -0.01829294
","x: 0.019225674
y: -0.028589198
z: -0.04694227
","x: 0.02350184
y: -0.023215935
z: -0.07763388
"
"x: -0.03286106
y: 0.047126397
z: 0.034441497
","x: -0.052135438
y: 0.029539177
z: 0.021746209
","x: -0.07196047
y: 0.0037061758
z: -0.0030095458
","x: -0.09203141
y: -0.01905682
z: -0.01011411
","x: -0.017536001
y: -0.009871817
z: -0.0014811605
","x: -0.017646324
y: -0.034600094
z: -0.011930462
","x: -0.018973524
y: -0.049229737
z: -0.028059872
","x: -0.017852101
y: -0.058087368
z: -0.06563791
","x: 0.000116365496
y: -0.004929486
z: -0.00018765946
","x: 0.0080873845
y: -0.021830872
z: -0.0209755
","x: 0.016511904
y: -0.027000455
z: -0.050859276
","x: 0.022185115
y: -0.026326612
z: -0.08657534
"
"x: -0.031499807
y: 0.04699161
z: 0.034996863
","x: -0.05125791
y: 0.028875314
z: 0.022616955
","x: -0.07206909
y: 0.0038608266
z: -0.001359749
","x: -0.090444714
y: -0.020206716
z: -0.00862019
","x: -0.018179389
y: -0.0091208685
z: -0.0005361225
","x: -0.01800223
y: -0.035700463
z: -0.00854262
","x: -0.018041119
y: -0.053698108
z: -0.021243272
","x: -0.014040338
y: -0.06727921
z: -0.052881327
","x: 0.00015596428
y: -0.0048471717
z: 8.262956e-05
","x: 0.0070424243
y: -0.022232402
z: -0.020565903
","x: 0.016563598
y: -0.029004825
z: -0.046496592
","x: 0.027736317
y: -0.036032375
z: -0.081900224
"
"x: -0.031661164
y: 0.045361362
z: 0.03749375
","x: -0.050940957
y: 0.027448453
z: 0.024107676
","x: -0.07079746
y: 0.0023335014
z: -0.00060321676
","x: -0.089276396
y: -0.020469265
z: -0.008825111
","x: -0.017097278
y: -0.01030538
z: -0.00078654103
","x: -0.016548177
y: -0.03847833
z: -0.009220031
","x: -0.01761879
y: -0.055392575
z: -0.022223754
","x: -0.014432505
y: -0.068685904
z: -0.055111703
","x: 0.0005413218
y: -0.0052992404
z: -6.941057e-05
","x: 0.007641908
y: -0.02189082
z: -0.020713475
","x: 0.016622769
y: -0.029547438
z: -0.047768887
","x: 0.026217707
y: -0.035984673
z: -0.08375268
"
"x: -0.031216063
y: 0.04730028
z: 0.033462677
","x: -0.05030901
y: 0.02948524
z: 0.021443624
","x: -0.070373185
y: 0.004280761
z: -0.0029534912
","x: -0.08980934
y: -0.017822439
z: -0.009691922
","x: -0.016301895
y: -0.010490367
z: -0.0013112884
","x: -0.017053012
y: -0.040309295
z: -0.0077625797
","x: -0.018215418
y: -0.057612523
z: -0.0184243
","x: -0.014582452
y: -0.07395923
z: -0.047503106
","x: 0.00047948037
y: -0.005436965
z: 0.00022106267
","x: 0.009114355
y: -0.024079254
z: -0.018535435
","x: 0.020986497
y: -0.033923548
z: -0.042348392
","x: 0.033566017
y: -0.043747924
z: -0.07785782
"
"x: -0.031227432
y: 0.047133118
z: 0.03579791
","x: -0.0491527
y: 0.028694278
z: 0.022255065
","x: -0.06802255
y: 0.002531278
z: -0.0045186174
","x: -0.08763364
y: -0.019695168
z: -0.010081714
","x: -0.015669003
y: -0.010668151
z: -0.0010231304
","x: -0.01781098
y: -0.040443517
z: -0.006523962
","x: -0.019041918
y: -0.058131687
z: -0.016559087
","x: -0.015888676
y: -0.07499649
z: -0.04446232
","x: 0.00042779022
y: -0.005165689
z: 0.0002547865
","x: 0.0121342335
y: -0.027201772
z: -0.0157353
","x: 0.025925513
y: -0.039807677
z: -0.03365819
","x: 0.039932597
y: -0.0553436
z: -0.065644674
"
"x: -0.030928385
y: 0.048430696
z: 0.032406494
","x: -0.049566954
y: 0.029818825
z: 0.02011183
","x: -0.06880188
y: 0.0028196173
z: -0.005318928
","x: -0.08793592
y: -0.018122543
z: -0.010538835
","x: -0.01609519
y: -0.010674885
z: -0.0015396269
","x: -0.01885698
y: -0.041249104
z: -0.0062135053
","x: -0.019639242
y: -0.058965307
z: -0.015796153
","x: -0.015928533
y: -0.07629838
z: -0.044214185
","x: 0.00042002235
y: -0.0053733657
z: 0.00048532896
","x: 0.011613016
y: -0.026786989
z: -0.015029603
","x: 0.025629874
y: -0.03848837
z: -0.032518957
","x: 0.04074191
y: -0.05406522
z: -0.064368546
"
"x: -0.032059744
y: 0.048452597
z: 0.034032397
","x: -0.05042959
y: 0.03061913
z: 0.02110826
","x: -0.06935692
y: 0.0046922993
z: -0.004936219
","x: -0.08928971
y: -0.01827157
z: -0.011766141
","x: -0.015361406
y: -0.01057324
z: 8.87031e-05
","x: -0.01823156
y: -0.040286664
z: -0.004647702
","x: -0.018977009
y: -0.059106834
z: -0.0135474885
","x: -0.014232828
y: -0.07620137
z: -0.044398446
","x: 0.000556732
y: -0.005511944
z: 0.0005297893
","x: 0.0121882465
y: -0.026742283
z: -0.016090821
","x: 0.026893193
y: -0.03891855
z: -0.03533628
","x: 0.03998638
y: -0.055079438
z: -0.068812124
"
"x: -0.032071263
y: 0.04732663
z: 0.037842825
","x: -0.04957082
y: 0.028855108
z: 0.024522498
","x: -0.06815028
y: 0.002370798
z: -0.003365284
","x: -0.08801571
y: -0.019476743
z: -0.010596253
","x: -0.01527851
y: -0.011050554
z: 9.9006094e-05
","x: -0.018065799
y: -0.040689915
z: -0.0057846643
","x: -0.018993571
y: -0.058550302
z: -0.01634753
","x: -0.01619783
y: -0.075337775
z: -0.047320124
","x: 0.00044298853
y: -0.0055784853
z: 0.00028656356
","x: 0.012547451
y: -0.028215066
z: -0.01570706
","x: 0.027194928
y: -0.039720334
z: -0.034884863
","x: 0.04104935
y: -0.054467697
z: -0.06802322
"
"x: -0.03115727
y: 0.047589254
z: 0.03671752
","x: -0.049124658
y: 0.028501693
z: 0.023864847
","x: -0.067594595
y: 0.0013233209
z: -0.0034179282
","x: -0.086883985
y: -0.020415204
z: -0.009806631
","x: -0.014996686
y: -0.011617899
z: 0.00016299654
","x: -0.018119812
y: -0.04128797
z: -0.0054119434
","x: -0.019526623
y: -0.05874732
z: -0.016061302
","x: -0.01673112
y: -0.07533328
z: -0.04525075
","x: 0.0005620585
y: -0.00554348
z: 0.00033993358
","x: 0.012259344
y: -0.028536992
z: -0.014775852
","x: 0.02612847
y: -0.040032245
z: -0.033984568
","x: 0.040542122
y: -0.054350693
z: -0.06607958
"
"x: -0.03132732
y: 0.045685586
z: 0.03771033
","x: -0.04885977
y: 0.027480401
z: 0.023411881
","x: -0.06698655
y: 0.0010865768
z: -0.004450938
","x: -0.08656092
y: -0.021049792
z: -0.010527671
","x: -0.015385545
y: -0.010917736
z: -0.00082630286
","x: -0.017778024
y: -0.041557763
z: -0.0067283236
","x: -0.018937483
y: -0.05895479
z: -0.017451756
","x: -0.015540079
y: -0.07551329
z: -0.047255304
","x: 0.0005854429
y: -0.005432112
z: 0.00029026633
","x: 0.012404347
y: -0.027637804
z: -0.015830634
","x: 0.026166547
y: -0.04082948
z: -0.03411403
","x: 0.03999062
y: -0.056462776
z: -0.06675866
"
"x: -0.031604253
y: 0.046321433
z: 0.038458608
","x: -0.048383348
y: 0.028343828
z: 0.025139775
","x: -0.06560113
y: 0.0017967317
z: -0.0033447768
","x: -0.08597212
y: -0.020339277
z: -0.010072796
","x: -0.014928863
y: -0.009907569
z: -0.0002439271
","x: -0.017755024
y: -0.03924051
z: -0.006631826
","x: -0.018921072
y: -0.057848804
z: -0.016330807
","x: -0.016251963
y: -0.073819734
z: -0.048410024
","x: 0.00031970278
y: -0.0052416567
z: -0.00014934508
","x: 0.013156937
y: -0.028440062
z: -0.014754932
","x: 0.029002298
y: -0.042022295
z: -0.033009678
","x: 0.04197243
y: -0.057957776
z: -0.066731066
"
"x: -0.032295056
y: 0.045490626
z: 0.038155567
","x: -0.04925172
y: 0.027632177
z: 0.024577307
","x: -0.066917606
y: 0.0011157924
z: -0.0033427584
","x: -0.08671915
y: -0.021725249
z: -0.009967226
","x: -0.016314464
y: -0.009945876
z: -0.00076999003
","x: -0.018611964
y: -0.039504353
z: -0.0068874843
","x: -0.01978086
y: -0.0569228
z: -0.016933061
","x: -0.017323025
y: -0.07423647
z: -0.046757102
","x: 7.495866e-05
y: -0.005006461
z: -2.0535444e-06
","x: 0.012908695
y: -0.028203137
z: -0.015510489
","x: 0.027083602
y: -0.041035593
z: -0.031570893
","x: 0.041555166
y: -0.05675445
z: -0.06419874
"
"x: -0.030819139
y: 0.047157083
z: 0.03535647
","x: -0.048772965
y: 0.028911252
z: 0.02191646
","x: -0.0665833
y: 0.0014008665
z: -0.004586474
","x: -0.08606585
y: -0.020129016
z: -0.009816825
","x: -0.0162795
y: -0.010315015
z: -0.0016827014
","x: -0.019498333
y: -0.040183045
z: -0.007379134
","x: -0.02071892
y: -0.05704139
z: -0.017321233
","x: -0.017798496
y: -0.07429469
z: -0.046527892
","x: 0.00027106947
y: -0.005323011
z: 0.00015636887
","x: 0.011527095
y: -0.02680234
z: -0.015194963
","x: 0.025356352
y: -0.039785586
z: -0.033371765
","x: 0.040338248
y: -0.05410686
z: -0.066238895
"
"x: -0.029933214
y: 0.047214493
z: 0.03538858
","x: -0.04793451
y: 0.02950372
z: 0.022947902
","x: -0.065548986
y: 0.0024214238
z: -0.004189805
","x: -0.08604717
y: -0.018656166
z: -0.010436224
","x: -0.0151467845
y: -0.009377111
z: -0.00063382724
","x: -0.01935719
y: -0.038869165
z: -0.0061696176
","x: -0.021223918
y: -0.05709014
z: -0.016275797
","x: -0.018595524
y: -0.07417632
z: -0.045791514
","x: 0.00053216546
y: -0.0051581054
z: 0.00016277256
","x: 0.0114331525
y: -0.02710788
z: -0.0144330375
","x: 0.026627086
y: -0.04018257
z: -0.03322863
","x: 0.04086369
y: -0.055741575
z: -0.06605406
"
"x: -0.030936943
y: 0.04493196
z: 0.039286837
","x: -0.047536284
y: 0.027740028
z: 0.025531774
","x: -0.06423482
y: 0.0019763457
z: -0.0038362518
","x: -0.085195094
y: -0.01998245
z: -0.0120209465
","x: -0.014859397
y: -0.009740233
z: 0.00021814124
","x: -0.018600084
y: -0.03901072
z: -0.006486474
","x: -0.020102646
y: -0.05686881
z: -0.018453809
","x: -0.017518971
y: -0.07262869
z: -0.050432816
","x: 0.00048540492
y: -0.005051713
z: 0.00012159736
","x: 0.012162304
y: -0.027829858
z: -0.015437396
","x: 0.026764898
y: -0.040330566
z: -0.035639912
","x: 0.039706416
y: -0.05509681
z: -0.07035734
"
"x: -0.03037547
y: 0.04813783
z: 0.0361728
","x: -0.04765448
y: 0.028933574
z: 0.023640374
","x: -0.06545985
y: 0.0010803705
z: -0.003958248
","x: -0.08450801
y: -0.021874547
z: -0.00933767
","x: -0.016141843
y: -0.009835018
z: -0.00042762083
","x: -0.019373065
y: -0.03926898
z: -0.005913789
","x: -0.020802148
y: -0.057435513
z: -0.015848178
","x: -0.01887462
y: -0.07449187
z: -0.04355694
","x: 0.00020916946
y: -0.0055209966
z: 0.00017900356
","x: 0.01232055
y: -0.028395873
z: -0.015083591
","x: 0.02718905
y: -0.040542122
z: -0.032792713
","x: 0.04257927
y: -0.05569441
z: -0.06507529
"
"x: -0.030346643
y: 0.04739529
z: 0.033242118
","x: -0.047189206
y: 0.028442688
z: 0.021879708
","x: -0.06418708
y: 0.0016398188
z: -0.0047663595
","x: -0.08441889
y: -0.020200834
z: -0.01018944
","x: -0.013701235
y: -0.009653136
z: -0.0001673391
","x: -0.019252136
y: -0.039563697
z: -0.005743806
","x: -0.02124511
y: -0.05717697
z: -0.016792743
","x: -0.019011978
y: -0.07400885
z: -0.04621559
","x: 0.00089615595
y: -0.005366308
z: 0.0006671207
","x: 0.01177704
y: -0.027904209
z: -0.013314999
","x: 0.026654804
y: -0.040918194
z: -0.03246757
","x: 0.04041335
y: -0.05656306
z: -0.06534738
"
"x: -0.030865362
y: 0.046797022
z: 0.037152022
","x: -0.04794941
y: 0.028907787
z: 0.023386614
","x: -0.06548239
y: 0.0025171535
z: -0.004544729
","x: -0.086105116
y: -0.019557934
z: -0.009900322
","x: -0.01531517
y: -0.009475685
z: -0.0010045338
","x: -0.01896201
y: -0.039170086
z: -0.007295508
","x: -0.020320185
y: -0.05689794
z: -0.01793794
","x: -0.017989999
y: -0.07312737
z: -0.0490614
","x: 0.00035057688
y: -0.005189584
z: 0.00010677148
","x: 0.012289022
y: -0.027638914
z: -0.015687734
","x: 0.02717425
y: -0.04023684
z: -0.035170566
","x: 0.041076872
y: -0.0557261
z: -0.069090046
"
"x: -0.02950625
y: 0.044267565
z: 0.041486792
","x: -0.04612685
y: 0.027971178
z: 0.025935574
","x: -0.06301693
y: 0.0023236517
z: -0.004649903
","x: -0.084051475
y: -0.018687664
z: -0.011906418
","x: -0.015526385
y: -0.009376304
z: -0.0006261476
","x: -0.018873947
y: -0.039803863
z: -0.008158847
","x: -0.020586902
y: -0.056622542
z: -0.01935222
","x: -0.018995881
y: -0.07266177
z: -0.052536704
","x: 0.00025753566
y: -0.0054069236
z: -0.00025456698
","x: 0.011988161
y: -0.028272972
z: -0.0150424205
","x: 0.026545938
y: -0.04255043
z: -0.035127617
","x: 0.04020681
y: -0.05707505
z: -0.07059452
"
"x: -0.029517014
y: 0.046583805
z: 0.03837866
","x: -0.0474905
y: 0.029095404
z: 0.023359137
","x: -0.06600051
y: 0.0034585595
z: -0.0052722073
","x: -0.08725725
y: -0.01832098
z: -0.011635013
","x: -0.01546925
y: -0.009536017
z: -0.0017895224
","x: -0.018331017
y: -0.03856092
z: -0.0080645615
","x: -0.020262554
y: -0.055990357
z: -0.018389618
","x: -0.01784528
y: -0.07243007
z: -0.04880322
","x: 0.00034727115
y: -0.0049401782
z: -0.00024373677
","x: 0.011640542
y: -0.027096028
z: -0.014871058
","x: 0.026031582
y: -0.040774662
z: -0.033899497
","x: 0.040154625
y: -0.05593262
z: -0.06655462
"
"x: -0.029975113
y: 0.046426907
z: 0.038182594
","x: -0.047053773
y: 0.028816039
z: 0.025457215
","x: -0.06529286
y: 0.0031500487
z: -0.0028784168
","x: -0.08601213
y: -0.017513262
z: -0.009969583
","x: -0.014542358
y: -0.009942839
z: 0.00016148534
","x: -0.018954368
y: -0.039849065
z: -0.00560926
","x: -0.020417765
y: -0.0582333
z: -0.016743995
","x: -0.018255245
y: -0.07462067
z: -0.047305178
","x: 0.0004922104
y: -0.00531805
z: 8.566138e-05
","x: 0.012500935
y: -0.028416058
z: -0.014339615
","x: 0.02743816
y: -0.04109416
z: -0.0335753
","x: 0.041197613
y: -0.056434717
z: -0.06688626
"
"x: -0.029062165
y: 0.04654167
z: 0.038304444
","x: -0.047501404
y: 0.029586572
z: 0.02404521
","x: -0.06644877
y: 0.0037641572
z: -0.0042332024
","x: -0.08755654
y: -0.01708211
z: -0.011128625
","x: -0.01635545
y: -0.009354389
z: -0.0014749333
","x: -0.019237712
y: -0.039633356
z: -0.007419298
","x: -0.020405991
y: -0.05697897
z: -0.017390374
","x: -0.01741936
y: -0.07375957
z: -0.04837192
","x: -5.424046e-05
y: -0.0050559817
z: -0.000246253
","x: 0.011463
y: -0.027571581
z: -0.015964884
","x: 0.026180461
y: -0.040496465
z: -0.03442839
","x: 0.04019692
y: -0.05581216
z: -0.068548836
"
"x: -0.029450059
y: 0.046033144
z: 0.038876284
","x: -0.047363076
y: 0.029198311
z: 0.024685238
","x: -0.06592443
y: 0.003434673
z: -0.00421599
","x: -0.0865771
y: -0.0163205
z: -0.011599516
","x: -0.015653338
y: -0.0095941685
z: -0.00066113216
","x: -0.019788511
y: -0.039802223
z: -0.0077610575
","x: -0.021265872
y: -0.057510138
z: -0.018482085
","x: -0.018548284
y: -0.074054204
z: -0.04982599
","x: 0.00037010724
y: -0.0056711966
z: 0.00030248903
","x: 0.011724619
y: -0.028474884
z: -0.015789043
","x: 0.026193516
y: -0.041051753
z: -0.034905788
","x: 0.040300097
y: -0.05588393
z: -0.07025149
"
"x: -0.029546283
y: 0.045911442
z: 0.0382459
","x: -0.0475854
y: 0.029337004
z: 0.024889806
","x: -0.066387445
y: 0.004390184
z: -0.0028466617
","x: -0.08844526
y: -0.016248535
z: -0.009365235
","x: -0.016049836
y: -0.00877693
z: -0.0011775952
","x: -0.019067924
y: -0.03792427
z: -0.0071770493
","x: -0.020655017
y: -0.05584042
z: -0.017483475
","x: -0.018299446
y: -0.07248852
z: -0.048142772
","x: 0.00015124289
y: -0.004585078
z: -0.00019259386
","x: 0.011279076
y: -0.026239336
z: -0.015893638
","x: 0.026369642
y: -0.03907674
z: -0.035075657
","x: 0.039722197
y: -0.05382435
z: -0.06828883
"
"x: -0.029791223
y: 0.044953316
z: 0.03821402
","x: -0.04863042
y: 0.027889142
z: 0.02416488
","x: -0.06709796
y: 0.0024092551
z: -0.0031996535
","x: -0.08761506
y: -0.017399475
z: -0.010165523
","x: -0.016257223
y: -0.010376502
z: -7.044903e-05
","x: -0.019955851
y: -0.03951489
z: -0.0067173447
","x: -0.021753633
y: -0.056701668
z: -0.016875798
","x: -0.018471614
y: -0.07327353
z: -0.047928423
","x: 0.00037701675
y: -0.005159565
z: 0.00032082002
","x: 0.012204568
y: -0.026628712
z: -0.01561649
","x: 0.02683286
y: -0.039934687
z: -0.03349122
","x: 0.041323505
y: -0.055812832
z: -0.067336395
"
"x: -0.029381434
y: 0.044612516
z: 0.038182378
","x: -0.048406012
y: 0.028627995
z: 0.023934295
","x: -0.06633298
y: 0.0041281013
z: -0.0035201048
","x: -0.08820107
y: -0.016353
z: -0.009633706
","x: -0.016872752
y: -0.009291545
z: -0.00077713985
","x: -0.019043775
y: -0.037916727
z: -0.007822946
","x: -0.021296151
y: -0.054975722
z: -0.016812475
","x: -0.018321868
y: -0.071732596
z: -0.048716716
","x: 0.00015707029
y: -0.00461588
z: -6.798847e-05
","x: 0.011749251
y: -0.024784481
z: -0.015603529
","x: 0.02703074
y: -0.03879441
z: -0.034223836
","x: 0.041296538
y: -0.05443313
z: -0.06882856
"
"x: -0.029565535
y: 0.045940295
z: 0.037967425
","x: -0.048020124
y: 0.029819034
z: 0.023165146
","x: -0.06665432
y: 0.0052331863
z: -0.004631012
","x: -0.08873584
y: -0.014382835
z: -0.011229356
","x: -0.016134875
y: -0.009466769
z: -0.0007961692
","x: -0.018789701
y: -0.03811277
z: -0.007336949
","x: -0.02072976
y: -0.05507956
z: -0.016986264
","x: -0.018043283
y: -0.07139492
z: -0.048269775
","x: 0.00012433715
y: -0.0047560055
z: -8.819227e-05
","x: 0.011890931
y: -0.025889149
z: -0.01464214
","x: 0.027095575
y: -0.039597146
z: -0.03331502
","x: 0.041439038
y: -0.055115774
z: -0.06593399
"
"x: -0.028388165
y: 0.04683797
z: 0.038276583
","x: -0.04692284
y: 0.029842585
z: 0.024480592
","x: -0.06607149
y: 0.00449678
z: -0.0035809237
","x: -0.088033326
y: -0.0143768
z: -0.009665753
","x: -0.015299515
y: -0.010049936
z: -0.0005335663
","x: -0.019454492
y: -0.03989778
z: -0.0067435787
","x: -0.021041183
y: -0.056846835
z: -0.016174443
","x: -0.018708296
y: -0.07364688
z: -0.04758408
","x: 0.00016513816
y: -0.0052632866
z: -0.000109588305
","x: 0.011765247
y: -0.027398322
z: -0.015383383
","x: 0.026458617
y: -0.04022551
z: -0.033822525
","x: 0.04084459
y: -0.05514164
z: -0.0668144
"
"x: -0.028546441
y: 0.046022475
z: 0.038801588
","x: -0.047071494
y: 0.02946145
z: 0.02455608
","x: -0.06662057
y: 0.005261599
z: -0.0028261198
","x: -0.088869
y: -0.0143230995
z: -0.009760192
","x: -0.015594721
y: -0.009082781
z: 0.00020588069
","x: -0.018561503
y: -0.03850875
z: -0.006364783
","x: -0.020246707
y: -0.05643073
z: -0.01635564
","x: -0.017577942
y: -0.07313791
z: -0.047664087
","x: 0.000101213576
y: -0.0049625775
z: 0.00014232006
","x: 0.011508426
y: -0.026285814
z: -0.015747672
","x: 0.026701612
y: -0.04021696
z: -0.035083707
","x: 0.040669665
y: -0.056243137
z: -0.06800981
"
"x: -0.02812674
y: 0.045446225
z: 0.039604574
","x: -0.04670353
y: 0.029729757
z: 0.024457607
","x: -0.065193065
y: 0.0057534026
z: -0.004566577
","x: -0.08683877
y: -0.013117847
z: -0.012228536
","x: -0.016168902
y: -0.008530171
z: -0.00097418175
","x: -0.019128285
y: -0.03810307
z: -0.0076904795
","x: -0.02058979
y: -0.05545872
z: -0.01703137
","x: -0.016917748
y: -0.07201805
z: -0.048851684
","x: -4.2485248e-05
y: -0.004995765
z: -0.00025030246
","x: 0.011825105
y: -0.025937103
z: -0.016129354
","x: 0.02753252
y: -0.0401271
z: -0.03594796
","x: 0.042290807
y: -0.05563069
z: -0.071435474
"
"x: -0.028103637
y: 0.046804346
z: 0.03955195
","x: -0.046629455
y: 0.030866167
z: 0.02475602
","x: -0.06720405
y: 0.0068197306
z: -0.003774511
","x: -0.09020467
y: -0.012591717
z: -0.009597126
","x: -0.015574629
y: -0.00925433
z: -0.0009283259
","x: -0.019191911
y: -0.038912885
z: -0.0070506646
","x: -0.02099135
y: -0.056127857
z: -0.015874356
","x: -0.018384751
y: -0.07317547
z: -0.047848534
","x: -0.000114017515
y: -0.005170459
z: -0.000116159485
","x: 0.011919652
y: -0.027725307
z: -0.0153095815
","x: 0.027465794
y: -0.04099968
z: -0.03376583
","x: 0.042169865
y: -0.057582267
z: -0.067014605
"
"x: -0.026606401
y: 0.047484003
z: 0.038690045
","x: -0.046628274
y: 0.031523637
z: 0.023980046
","x: -0.06931906
y: 0.008092292
z: -0.0037583753
","x: -0.090859376
y: -0.010107671
z: -0.011045925
","x: -0.016783483
y: -0.009415233
z: -0.00042464404
","x: -0.020150386
y: -0.039837558
z: -0.00635255
","x: -0.021452699
y: -0.057845637
z: -0.015065785
","x: -0.018261679
y: -0.07568359
z: -0.045790263
","x: -0.00031822908
y: -0.005197605
z: -0.00014025676
","x: 0.012196131
y: -0.027419439
z: -0.01619085
","x: 0.0272705
y: -0.040728215
z: -0.033867855
","x: 0.04214465
y: -0.057044197
z: -0.06698048
"
"x: -0.026927125
y: 0.046489604
z: 0.039970335
","x: -0.04669759
y: 0.031515945
z: 0.025034666
","x: -0.06814623
y: 0.009448788
z: -0.0032064372
","x: -0.09083044
y: -0.008451936
z: -0.010876536
","x: -0.015251502
y: -0.0094288895
z: -0.00029881982
","x: -0.01906146
y: -0.039054673
z: -0.006105384
","x: -0.020946335
y: -0.05649176
z: -0.014612096
","x: -0.017736474
y: -0.074008025
z: -0.046410676
","x: -8.7837456e-05
y: -0.005363645
z: 7.084154e-05
","x: 0.011051521
y: -0.026400058
z: -0.015802093
","x: 0.025997262
y: -0.040090512
z: -0.034320954
","x: 0.039738674
y: -0.055607375
z: -0.067161255
"
"x: -0.024566332
y: 0.046568576
z: 0.038854588
","x: -0.046226755
y: 0.033759497
z: 0.022836141
","x: -0.06933888
y: 0.014524375
z: -0.0070059714
","x: -0.09367244
y: -0.00028362125
z: -0.013246696
","x: -0.016899621
y: -0.0079717
z: -0.0021977143
","x: -0.02090675
y: -0.03638001
z: -0.008092249
","x: -0.022172201
y: -0.0540578
z: -0.0159024
","x: -0.01874143
y: -0.071579866
z: -0.047490783
","x: -0.00057050795
y: -0.004076515
z: -0.000590018
","x: 0.01114687
y: -0.024305277
z: -0.015708381
","x: 0.027177572
y: -0.03815907
z: -0.03512937
","x: 0.040877923
y: -0.053727195
z: -0.06802103
"
"x: -0.02500094
y: 0.046886988
z: 0.042689014
","x: -0.04586776
y: 0.033299692
z: 0.026960097
","x: -0.069078535
y: 0.014848001
z: -0.0033069751
","x: -0.09263371
y: -0.00092681777
z: -0.012653458
","x: -0.015333571
y: -0.00903546
z: -0.00034748748
","x: -0.02037713
y: -0.038534027
z: -0.006025314
","x: -0.02210595
y: -0.055808425
z: -0.013953221
","x: -0.01914172
y: -0.07431018
z: -0.045074977
","x: -0.00033200602
y: -0.0053052893
z: -5.176481e-05
","x: 0.010860539
y: -0.02673006
z: -0.01582919
","x: 0.025411418
y: -0.038802568
z: -0.036255755
","x: 0.038742162
y: -0.05437108
z: -0.069800615
"
"x: -0.024952952
y: 0.045780346
z: 0.042034674
","x: -0.045548838
y: 0.03315631
z: 0.024819689
","x: -0.069389395
y: 0.016806975
z: -0.0064728796
","x: -0.0933513
y: 0.0027476996
z: -0.016853321
","x: -0.015620533
y: -0.008536221
z: -0.00068981096
","x: -0.020343427
y: -0.03755613
z: -0.0071481895
","x: -0.021188643
y: -0.05501959
z: -0.016101075
","x: -0.017575266
y: -0.07368383
z: -0.04755834
","x: -0.00045766827
y: -0.00473136
z: -0.00016434776
","x: 0.0112605775
y: -0.026097847
z: -0.015838008
","x: 0.026230715
y: -0.03947737
z: -0.03657787
","x: 0.04000929
y: -0.055097725
z: -0.07140666
"
