F0,F1,F2,F3,S0,S1,S2,S3,M0,M1,M2,M3
"x: -0.0029218383
y: 0.052468047
z: 0.028384207
","x: 0.013520679
y: 0.031127322
z: 0.020247133
","x: 0.020373514
y: 0.0062315715
z: 0.0015378651
","x: 0.01879908
y: -0.010888444
z: -0.009156282
","x: 0.009976002
y: -0.0008575993
z: -0.0035057275
","x: 0.019223655
y: -0.01902506
z: -0.0035853977
","x: 0.03451034
y: -0.03424349
z: -0.0016265636
","x: 0.055426
y: -0.044393897
z: 0.0044203345
","x: 0.0011893378
y: -0.002348106
z: -0.0036164667
","x: 0.023434155
y: -0.019347345
z: 0.005606617
","x: 0.043953676
y: -0.019262161
z: 0.01532164
","x: 0.050865114
y: -0.013209984
z: 0.024578858
"
"x: -0.023280317
y: 0.044956926
z: 0.047245786
","x: -0.04126036
y: 0.023075785
z: 0.026474465
","x: -0.057707112
y: 0.0011031125
z: -0.0054311585
","x: -0.064843856
y: -0.024756059
z: -0.023482053
","x: -0.015943788
y: -0.014304597
z: 0.003754306
","x: -0.011427268
y: -0.043278433
z: -0.005553086
","x: -0.009643344
y: -0.063211285
z: -0.012896526
","x: -0.005122194
y: -0.08096369
z: -0.035030406
","x: 0.000739401
y: -0.007265279
z: -0.0006246389
","x: 0.0067278408
y: -0.026913336
z: -0.021150757
","x: 0.013412032
y: -0.039969046
z: -0.04095761
","x: 0.021368887
y: -0.056323517
z: -0.074360766
"
"x: -0.023300342
y: 0.044606097
z: 0.044665303
","x: -0.0410351
y: 0.022898175
z: 0.023897132
","x: -0.05819447
y: 0.0009805844
z: -0.006469485
","x: -0.06549004
y: -0.025032056
z: -0.02491306
","x: -0.01617657
y: -0.014255455
z: 0.003643559
","x: -0.011475889
y: -0.04386126
z: -0.004481301
","x: -0.00903071
y: -0.064264804
z: -0.010446146
","x: -0.004043746
y: -0.083535515
z: -0.03005992
","x: 0.00066709507
y: -0.0076289573
z: -0.00050532783
","x: 0.0060845437
y: -0.027251689
z: -0.020027794
","x: 0.013093945
y: -0.04135811
z: -0.039275695
","x: 0.02131242
y: -0.057938825
z: -0.07183062
"
"x: -0.018987982
y: 0.034229394
z: 0.06344223
","x: -0.03915883
y: 0.033064812
z: 0.03854028
","x: -0.043218814
y: 0.038639907
z: -0.01775915
","x: -0.043377403
y: 0.042618766
z: -0.050446536
","x: -0.026400918
y: -0.0067821927
z: 0.002566234
","x: -0.028827421
y: -0.04187818
z: -0.0057765148
","x: -0.029508874
y: -0.060506098
z: -0.013939271
","x: -0.019911967
y: -0.07939119
z: -0.032210004
","x: -0.0017056537
y: -0.00182688
z: -0.002593295
","x: 0.008596468
y: -0.03048081
z: -0.023712542
","x: 0.020316433
y: -0.054074235
z: -0.047517706
","x: 0.025129633
y: -0.07489631
z: -0.08729022
"
"x: -0.02559932
y: 0.035026047
z: 0.052020997
","x: -0.043932397
y: 0.019569973
z: 0.03302852
","x: -0.062027168
y: -0.0013920681
z: -0.004699552
","x: -0.073332086
y: -0.022317514
z: -0.022157451
","x: -0.019789487
y: -0.010695781
z: -0.000319264
","x: -0.019639714
y: -0.04075704
z: -0.008981674
","x: -0.019583417
y: -0.060267173
z: -0.019314788
","x: -0.012848867
y: -0.079372734
z: -0.04572007
","x: -0.0007505127
y: -0.004351565
z: -0.0011715634
","x: 0.010185659
y: -0.024432298
z: -0.023648508
","x: 0.022236396
y: -0.044183385
z: -0.04700384
","x: 0.0317361
y: -0.06153759
z: -0.08985897
"
"x: -0.022465121
y: 0.033244643
z: 0.06504577
","x: -0.041013792
y: 0.035433244
z: 0.033942528
","x: -0.044911373
y: 0.042837072
z: -0.021865908
","x: -0.042725977
y: 0.045329485
z: -0.0555141
","x: -0.026810974
y: -0.0054458994
z: 0.00094238
","x: -0.03015924
y: -0.043006163
z: -0.0042346264
","x: -0.029527202
y: -0.059270266
z: -0.01146476
","x: -0.019594064
y: -0.078857295
z: -0.0303917
","x: -0.0014243895
y: -0.002017642
z: -0.0025754008
","x: 0.010882951
y: -0.033158455
z: -0.022741495
","x: 0.021555748
y: -0.05440356
z: -0.04422376
","x: 0.029001238
y: -0.074570596
z: -0.08387292
"
"x: -0.030947274
y: 0.03724261
z: 0.045431513
","x: -0.047515277
y: 0.018689685
z: 0.029925698
","x: -0.06164034
y: -0.0077065416
z: -0.0036327848
","x: -0.06984115
y: -0.03236673
z: -0.014638448
","x: -0.020967321
y: -0.010751279
z: -0.002570939
","x: -0.019593272
y: -0.039287418
z: -0.0071729585
","x: -0.018039046
y: -0.05852619
z: -0.018262157
","x: -0.010617799
y: -0.07651791
z: -0.040506862
","x: -0.00035496592
y: -0.0034455252
z: -0.0003714839
","x: 0.010731867
y: -0.023990793
z: -0.02227669
","x: 0.026041761
y: -0.042467523
z: -0.044408675
","x: 0.03721852
y: -0.060450263
z: -0.08519813
"
"x: 0.015700916
y: 0.055668112
z: 0.025463663
","x: 0.028961413
y: 0.030688819
z: 0.014643048
","x: 0.03136207
y: 0.002265852
z: -0.003986905
","x: 0.024345584
y: -0.015978977
z: -0.014861984
","x: 0.013409605
y: -0.0039405413
z: -0.009628416
","x: 0.02398694
y: -0.023504335
z: -0.009115937
","x: 0.039986257
y: -0.03769962
z: -0.0054498394
","x: 0.05940633
y: -0.04010501
z: 0.004310483
","x: 0.00049172674
y: -0.0028104025
z: -0.005184211
","x: 0.022215173
y: -0.019228691
z: 0.0048944782
","x: 0.044540297
y: -0.019645229
z: 0.0176429
","x: 0.059231196
y: -0.010545149
z: 0.031876437
"
"x: -0.033362437
y: 0.03873788
z: 0.042581882
","x: -0.045649122
y: 0.019201873
z: 0.025962016
","x: -0.05738855
y: -0.0065251766
z: -0.003712565
","x: -0.06820443
y: -0.03453205
z: -0.01568266
","x: -0.014674179
y: -0.011237725
z: -0.0032227207
","x: -0.009973511
y: -0.04240409
z: -0.009315759
","x: -0.009030173
y: -0.065342106
z: -0.017409887
","x: -0.005090859
y: -0.08261848
z: -0.042352997
","x: 0.0011282559
y: -0.0041258237
z: -0.0017582406
","x: 0.010461355
y: -0.024385318
z: -0.020159394
","x: 0.020849636
y: -0.039331604
z: -0.04145236
","x: 0.030607004
y: -0.052728437
z: -0.078028984
"
"x: -0.032093577
y: 0.0402904
z: 0.044566993
","x: -0.04492703
y: 0.020371841
z: 0.026979964
","x: -0.056835003
y: -0.003722569
z: -0.0032279957
","x: -0.067356646
y: -0.028535163
z: -0.016494522
","x: -0.01518268
y: -0.009840175
z: -0.0016443054
","x: -0.012106563
y: -0.041952353
z: -0.008750986
","x: -0.010352947
y: -0.06423988
z: -0.017665181
","x: -0.0082004
y: -0.08265644
z: -0.038859405
","x: 0.00096881954
y: -0.004312743
z: -0.0014385685
","x: 0.009700774
y: -0.023580447
z: -0.019050088
","x: 0.019647786
y: -0.03958215
z: -0.03903331
","x: 0.03238765
y: -0.053578053
z: -0.07218428
"
